provider_id,provider_name,provider_type,provider_website,source_title,source_link,source_type,student_type,study_stage,fee_year,matched_keywords,source_score,last_checked,http_status,notes,validation_status,validation_score,validation_reason,validated_title,validated_student_type,validated_study_stage,validated_fee_year,final_url,content_type,page_snippet,display_title,display_student_type,display_fee_year,canonical_source_link,refined_bucket,refined_reason,refined_score,source_quality
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Fees - Ara,https://www.ara.ac.nz/study/fees,HTML,Unknown,Unknown,Unknown,fee;fees;tuition;cost;costs;tuition fee,42,2026-05-14,200,[clean] direct fee HTML page,validated,154,"text_kw:fee;text_kw:fees;text_kw:tuition;text_kw:cost;text_kw:costs;text_kw:student services levy;text_kw:levy;text_kw:international fees;text_kw:domestic fees;text_kw:tuition fee;strong_text:\btuition\s+fees?\b;strong_text:\b202[0-9]\b.{0,60}\bfees?\b;strong_text:\bfees?\b.{0,60}\b202[0-9]\b;year_signal;student_type_signal;negative_content",Fees - Ara,Domestic,Unknown,Unknown,https://www.ara.ac.nz/study/fees,text/html; charset=utf-8,"f individual courses/papers. The fee range shown for domestic student fees in the programme listings are meant as a guide only. The range indicates the minimum and maximum fee you could be charged per year depending on the courses/papers that you enrol into. Tuition Fee Each course within a programme has an individual tuition fee. Other costs May include costs for text books, materials, uniforms and some exams which are not included in the tuition fee . Compulsory Student Services Fee The Compulsory Student S",Fees - Ara,Domestic,Unknown,https://ara.ac.nz/study/fees,clean,direct fee HTML page,159.0,clean
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,International Dates and Fees 2026,https://www.ara.ac.nz/siteassets/documents---home/study/priority-learning-groups/international-students/international-brochures--study-guide/international-fees-2026.pdf,PDF,International,Unknown,2026,fee;fees,72,2026-05-14,200,[clean] current direct fee document,validated,82,"text_kw:fee;text_kw:fees;strong_text:\bfees?\b.{0,60}\b202[0-9]\b;source_type:PDF;year_signal;student_type_signal",International Dates and Fees 2026,International,Unknown,2026,https://www.ara.ac.nz/siteassets/documents---home/study/priority-learning-groups/international-students/international-brochures--study-guide/international-fees-2026.pdf,application/pdf,,International Dates and Fees 2026,International,2026,https://ara.ac.nz/siteassets/documents---home/study/priority-learning-groups/international-students/international-brochures--study-guide/international-fees-2026.pdf,clean,current direct fee document,90.0,clean
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,international course fees,https://www.ara.ac.nz/study/priority-learner-groups/international/International-fees/,HTML,International,Unknown,Unknown,fee;fees;course fee;course fees;international fees,85,2026-05-14,200,[clean] direct fee HTML page,validated,54,"text_kw:fee;text_kw:fees;text_kw:cost;text_kw:costs;text_kw:international fees;text_kw:invoice;strong_text:\bfees?\b.{0,60}\b202[0-9]\b;year_signal;student_type_signal;negative_content",International Fees & Brochures - Ara,International,Unknown,2026,https://www.ara.ac.nz/study/priority-learner-groups/international/International-fees/,text/html; charset=utf-8,International Fees & Brochures - Ara Skip to main content Apply now for July 2026! Check out all our courses starting in Semester 2. Close Search Menu Akoranga Study at Ara Course Search How to Apply Study Interest Areas Short Courses Foundati,International Fees & Brochures - Ara,International,2026,https://ara.ac.nz/study/priority-learner-groups/international/International-fees,clean,direct fee HTML page,59.0,clean
6007.0,EIT,Institute of Technology/Polytechnic,http://www.eit.ac.nz/,Programme Fees,https://www.eit.ac.nz/fees/,HTML,Unknown,Unknown,Unknown,fee;fees;programme fee;programme fees,77,2026-05-14,200,[clean] direct fee HTML page,validated,96,text_kw:fee;text_kw:fees;text_kw:programme fee;text_kw:programme fees;text_kw:student services levy;text_kw:levy;strong_text:\bprogramme\s+fees?\b;student_type_signal,Programme Fees | EIT Hawke's Bay and Tairāwhiti,International,Unknown,Unknown,https://www.eit.ac.nz/fees/,text/html; charset=UTF-8,Programme Fees | EIT Hawke's Bay and Tairāwhiti Search EASTERN INSTITUTE OF TECHNOLOGY | Te Aho a Māui | New Zealand 0800 22 55 348 info@eit.ac.nz | international@eit.ac.nz Māori EASTERN INSTITUTE OF TECHNOLOGY | Te Aho a Māui | New Zealand 0800 22 55 348 info,Programme Fees | EIT Hawke's Bay and Tairāwhiti,International,Unknown,https://eit.ac.nz/fees,clean,direct fee HTML page,101.0,clean
6007.0,EIT,Institute of Technology/Polytechnic,http://www.eit.ac.nz/,Dates and Fees 2026,https://www.eit.ac.nz/wp-content/uploads/programme-app-packs/int%20Programme%20Matrix.pdf,PDF,International,Unknown,2026,fee;fees,44,2026-05-14,200,[clean] current direct fee document,validated,76,"text_kw:fee;text_kw:fees;strong_text:\bfees?\b.{0,60}\b202[0-9]\b;source_type:PDF;year_signal",Dates and Fees 2026,International,Unknown,2026,https://www.eit.ac.nz/wp-content/uploads/programme-app-packs/int%20Programme%20Matrix.pdf,application/pdf,,Dates and Fees 2026,International,2026,https://eit.ac.nz/wp-content/uploads/programme-app-packs/int%20Programme%20Matrix.pdf,clean,current direct fee document,84.0,clean
8325.0,Eastwest College of Intercultural Studies,Private Training Establishment,http://www.eastwest.ac.nz/,Fees,http://www.eastwest.ac.nz/fees,HTML,Unknown,Unknown,Unknown,fee;fees;tuition;cost;costs,36,2026-05-18,200,[clean] direct fee HTML page,validated,86,"text_kw:fee;text_kw:fees;text_kw:tuition;text_kw:cost;text_kw:costs;strong_text:\b202[0-9]\b.{0,60}\bfees?\b;strong_text:\bfees?\b.{0,60}\b202[0-9]\b;money_signal;year_signal;student_type_signal;negative_content",Fees | Eastwest College of Intercultural Studies,International,Unknown,2026,http://www.eastwest.ac.nz/fees/,text/html; charset=UTF-8,"s a semester-based study programme – two semesters per year. All costs are calculated in New Zealand Dollars and are subject to change without notice. All fees listed include GST. Feb – Dec 2026 Fees Note: There is a $1000 scholarship available for all 2026 tuition-paying students who need it. (Scholarship fees in brackets) Fees per year Tuition Food & accom. Annual Total Full Time NZ $6,178 ($5,178) $10,405 $370 $16,953 ($15,953) Full Time International $7500 ($6,500) $10,405 $370 $18,",Fees | Eastwest College of Intercultural Studies,International,2026,https://eastwest.ac.nz/fees,clean,direct fee HTML page,91.0,clean
9531.0,Excel Ministries Schl of Performing Arts,Private Training Establishment,http://www.excel.ac.nz/,Course Fees — Excel School Of Performing Arts,https://www.excel.ac.nz/course-fees,HTML,Unknown,Unknown,Unknown,fee;fees;tuition;cost;course fee;course fees;tuition fee,94,2026-05-19,200,[clean] direct fee HTML page,validated,216,"text_kw:fee;text_kw:fees;text_kw:tuition;text_kw:cost;text_kw:course fee;text_kw:course fees;text_kw:tuition fee;strong_text:\btuition\s+fees?\b;strong_text:\bcourse\s+fees?\b;strong_text:\b202[0-9]\b.{0,60}\bfees?\b;strong_text:\bfees?\b.{0,60}\b202[0-9]\b;money_signal;year_signal;student_type_signal",Course Fees — Excel School Of Performing Arts,Unknown,Certificate/Diploma/Foundation,Unknown,https://www.excel.ac.nz/course-fees,text/html;charset=utf-8,"Tour Apply About Our Story Our Team Qualifications Tour Blog FAQs Donate Contact Music, Dance & Drama Course Fees How much does it cost to attend EXCEL? Level 4 Certificate Total for Certificate students: $8634 incl GST (this includes a Tuition Fee of $8032 and a Compulsory Student Services Fee of $602) Level 5 Diploma Total for Diploma students: $8634 incl GST (this includes a Tuition Fee of $8032 and a Compulsory Student Services Fee of $602) Commitment and Administration Fee $150 in",Course Fees — Excel School Of Performing Arts,Unknown,Unknown,https://excel.ac.nz/course-fees,clean,direct fee HTML page,221.0,clean
7006.0,Lincoln University,University,http://www.lincoln.ac.nz/,Domestic Fees Calculator,https://www.lincoln.ac.nz/study/fees/domestic-fees-calculator/,calculator,Domestic,Unknown,Unknown,fee;fees;calculator;domestic fees,75,2026-05-15,200,[clean] fee calculator,validated,86,text_kw:fee;text_kw:fees;text_kw:calculator;text_kw:international fees;text_kw:domestic fees;source_type:calculator;year_signal;student_type_signal,Domestic Fees Calculator :: Lincoln University,Domestic,Unknown,Unknown,https://www.lincoln.ac.nz/study/fees/domestic-fees-calculator/,text/html; charset=utf-8,"Domestic Fees Calculator :: Lincoln University Skip to main content Search Search 1 ? 'overflow-hidden' : 'overflow-y-auto', applyTranslateFix ? 'translate-x-0' : '']"" :aria-hidden=""[mobileNavOpen ? 'false' : 'true']"" > Close Mobile Menu Ako Study Back",Domestic Fees Calculator :: Lincoln University,Domestic,Unknown,https://lincoln.ac.nz/study/fees/domestic-fees-calculator,clean,fee calculator,96.0,clean
7006.0,Lincoln University,University,http://www.lincoln.ac.nz/,Domestic fees estimates,https://www.lincoln.ac.nz/study/fees/domestic-fees/,HTML,Domestic,Unknown,Unknown,fee;fees;domestic fees,52,2026-05-15,200,[clean] direct fee HTML page,validated,64,text_kw:fee;text_kw:fees;text_kw:calculator;text_kw:international fees;text_kw:domestic fees;year_signal;student_type_signal,Domestic fees estimates :: Lincoln University,Domestic,Unknown,Unknown,https://www.lincoln.ac.nz/study/fees/domestic-fees/,text/html; charset=utf-8,"Domestic fees estimates :: Lincoln University Skip to main content Search Search 1 ? 'overflow-hidden' : 'overflow-y-auto', applyTranslateFix ? 'translate-x-0' : '']"" :aria-hidden=""[mobileNavOpen ? 'false' : 'true']"" > Close Mobile Menu Ako Study Back",Domestic fees estimates :: Lincoln University,Domestic,Unknown,https://lincoln.ac.nz/study/fees/domestic-fees,clean,direct fee HTML page,69.0,clean
7006.0,Lincoln University,University,http://www.lincoln.ac.nz/,International Fees,https://www.lincoln.ac.nz/study/fees/international-fees/,HTML,International,Unknown,Unknown,fee;fees;tuition;international fees;tuition fee,52,2026-05-15,200,[clean] direct fee HTML page,validated,64,text_kw:fee;text_kw:fees;text_kw:calculator;text_kw:international fees;text_kw:domestic fees;year_signal;student_type_signal,International Fees :: Lincoln University,Both,Unknown,Unknown,https://www.lincoln.ac.nz/study/fees/international-fees/,text/html; charset=utf-8,"e your qualification in the minimum amount of time, you may need to enrol in four courses per semester. You are strongly encouraged to discuss your enrolment with Student Administration staff, or your course advisor/supervisor. To be eligible for domestic tuition fees, you must be either a New Zealand citizen, a New Zealand permanent resident or an Australian citizen who is studying in New Zealand. If you become a New Zealand citizen or permanent resident after the last day to enrol in a semester (as stated i",International Fees :: Lincoln University,Both,Unknown,https://lincoln.ac.nz/study/fees/international-fees,clean,direct fee HTML page,69.0,clean
