provider_id,provider_name,provider_type,provider_website,programme_name,programme_link,study_stage,subject_area,matched_keywords,last_checked,notes,refined_bucket,refined_reason,refined_score,programme_name_before_normalization,programme_name_original,study_stage_before_standardization,subject_area_before_standardization,programme_name_before_repair,name_repair_reason
9518.0,ABC College of English,Private Training Establishment,http://www.abc.ac.nz/,Graduate Diploma in Tourism & Hospitality Management,https://abc.ac.nz/study/tourism-and-hospitality-management/,Diploma; Graduate,Business / Management; Hospitality / Tourism,diploma,2026-05-19,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,100.0,Graduate Diploma in Tourism & Hospitality Management,Graduate Diploma in Tourism & Hospitality Management,Diploma; Graduate,Business / Management; Hospitality / Tourism,Graduate Diploma in Tourism & Hospitality Management,kept_original
9513.0,ACTS Auckland City Training School,Private Training Establishment,http://www.equipperscollege.com/,Bachelor of Theology,https://equipperscollege.com/bachelor-in-theology,Bachelor,Unknown,bachelor,2026-05-19,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,80.0,Bachelor of Theology,Bachelor of Theology,Bachelor,Unknown,Bachelor of Theology,kept_original
9513.0,ACTS Auckland City Training School,Private Training Establishment,http://www.equipperscollege.com/,Certificate of Christian Ministry,https://equipperscollege.com/level4,Certificate,Unknown,certificate,2026-05-19,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,80.0,Certificate of Christian Ministry,Certificate of Christian Ministry,Certificate,Unknown,Certificate of Christian Ministry,kept_original
9513.0,ACTS Auckland City Training School,Private Training Establishment,http://www.equipperscollege.com/,Diploma in Christian Studies,https://equipperscollege.com/diplomainchristianstudies,Diploma,Unknown,diploma,2026-05-19,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,80.0,Diploma in Christian Studies,Diploma in Christian Studies,Diploma,Unknown,Diploma in Christian Studies,kept_original
9513.0,ACTS Auckland City Training School,Private Training Establishment,http://www.equipperscollege.com/,Graduate Diploma in Theology,https://equipperscollege.com/graduate-diploma-in-theology,Diploma; Graduate,Unknown,diploma,2026-05-19,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,80.0,Graduate Diploma in Theology,Graduate Diploma in Theology,Diploma; Graduate,Unknown,Graduate Diploma in Theology,kept_original
9384.0,Achievement NZ Limited,Private Training Establishment,http://www.achievementnz.co.nz/,IT AND COMPUTING - AchievementNZ,http://www.achievementnz.co.nz/web/guest/careers-in-information-technology-career-options-level-2-programme-structure,Unknown,Computing / IT,programme;program,2026-05-19,deduplicated/normalized from same programme_link; kept concise title,clean,specific study option or subject page,55.0,IT AND COMPUTING - AchievementNZ,IT AND COMPUTING - AchievementNZ,Unknown,Computing / IT,IT AND COMPUTING - AchievementNZ,kept_original
9384.0,Achievement NZ Limited,Private Training Establishment,http://www.achievementnz.co.nz/,MY VOICE ACHIEVEMENTS - AchievementNZ,http://www.achievementnz.co.nz/web/guest/programme-structure-my-voice-foundation-skills-level-1,Certificate,Unknown,programme;program;foundation,2026-05-19,deduplicated/normalized from same programme_link; kept concise title,clean,specific study option or subject page,60.0,MY VOICE ACHIEVEMENTS - AchievementNZ,MY VOICE ACHIEVEMENTS - AchievementNZ,Certificate,Unknown,MY VOICE ACHIEVEMENTS - AchievementNZ,kept_original
9384.0,Achievement NZ Limited,Private Training Establishment,http://www.achievementnz.co.nz/,"Our Courses are fun and interactive,We offer Virtual Vocations,Pathways,Active Careers,Hospitality and service industries,Foundation Skills,IT and Computing - AchievementNZ",http://www.achievementnz.co.nz/web/guest/find-a-course,Certificate,Computing / IT; Hospitality / Tourism,course;courses;foundation;pathway,2026-05-19,deduplicated/normalized from same programme_link; kept concise title,clean,specific study option or subject page,70.0,"Our Courses are fun and interactive,We offer Virtual Vocations,Pathways,Active Careers,Hospitality and service industries,Foundation Skills,IT and Computing - AchievementNZ","Our Courses are fun and interactive,We offer Virtual Vocations,Pathways,Active Careers,Hospitality and service industries,Foundation Skills,IT and Computing - AchievementNZ",Certificate,Computing / IT; Hospitality / Tourism,"Our Courses are fun and interactive,We offer Virtual Vocations,Pathways,Active Careers,Hospitality and service industries,Foundation Skills,IT and Computing - AchievementNZ",kept_original
9384.0,Achievement NZ Limited,Private Training Establishment,http://www.achievementnz.co.nz/,careers in hospitality level 2 - AchievementNZ,http://www.achievementnz.co.nz/web/guest/careers-in-hospitality-level-2-programme-structure,Unknown,Hospitality / Tourism,programme;program,2026-05-19,deduplicated/normalized from same programme_link; kept concise title,clean,specific study option or subject page,55.0,careers in hospitality level 2 - AchievementNZ,careers in hospitality level 2 - AchievementNZ,Unknown,Hospitality / Tourism,careers in hospitality level 2 - AchievementNZ,kept_original
8491.0,Alpha Educational Institute,Private Training Establishment,http://www.aei.ac.nz/,Diploma in Business Brandmanagement Level7,https://www.aei.ac.nz/nz-diploma-in-business-brandmanagement-level7,Diploma,Business / Management,diploma,2026-05-19,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,100.0,Diploma in Business Brandmanagement Level7,Diploma in Business Brandmanagement Level7,Diploma,Business / Management,Diploma in Business Brandmanagement Level7,kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Design Applied Visual Art,https://www.ara.ac.nz/products/programme/ch3756-appv-bachelor-of-design-applied-visual-art/,Bachelor,Creative Arts / Design,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Design Applied Visual Art,Bachelor of Design Applied Visual Art,Bachelor,Creative Arts / Design,Bachelor of,repaired_from_url_slug
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Accounting,https://www.ara.ac.nz/products/programme/tp4775-stru-bachelor-of-accounting/,Bachelor,Business / Management; Creative Arts / Design,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Accounting,Bachelor of Accounting,Bachelor,Business / Management; Creative Arts / Design,Bachelor of Accounting,kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Applied Management,https://www.ara.ac.nz/products/programme/ch3988-genr-bachelor-of-applied-management/,Bachelor,Business / Management,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Applied Management,Bachelor of Applied Management,Bachelor,Business / Management,Bachelor of Applied Management,kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Applied Science (Sport and Exercise),https://www.ara.ac.nz/products/programme/ch3981-spex-bachelor-of-applied-science-sport-and-exercise/,Bachelor,Health; Creative Arts / Design; Science,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Applied Science (Sport and Exercise),Bachelor of Applied Science (Sport and Exercise),Bachelor,Health; Creative Arts / Design; Science,Bachelor of Applied Science (Sport and Exercise),kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Applied Science Health Promotion,https://www.ara.ac.nz/products/programme/ch3981-hepr-bachelor-of-applied-science-health-promotion/,Bachelor,Health; Creative Arts / Design; Science,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Applied Science Health Promotion,Bachelor of Applied Science Health Promotion,Bachelor,Health; Creative Arts / Design; Science,Bachelor of Applied Science Health Promotion,kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Applied Science Human Nutrition,https://www.ara.ac.nz/products/programme/ch3981-hunu-bachelor-of-applied-science-human-nutrition/,Bachelor,Health; Creative Arts / Design; Science,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Applied Science Human Nutrition,Bachelor of Applied Science Human Nutrition,Bachelor,Health; Creative Arts / Design; Science,Bachelor of Applied Science Human Nutrition,kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Architectural Studies,https://www.ara.ac.nz/products/programme/ch3900-arch-bachelor-of-architectural-studies/,Bachelor,Business / Management; Engineering / Construction; Creative Arts / Design,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Architectural Studies,Bachelor of Architectural Studies,Bachelor,Business / Management; Engineering / Construction; Creative Arts / Design,Bachelor of Architectural Studies,kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Broadcasting Communications (Journalism),https://www.ara.ac.nz/products/programme/ch3714-jour-bachelor-of-broadcasting-communications-journalism/,Bachelor,Creative Arts / Design,programme;program;degree;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Broadcasting Communications (Journalism),Bachelor of Broadcasting Communications (Journalism),Bachelor,Creative Arts / Design,Bachelor of Broadcasting Communications (Journalism),kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Broadcasting Communications (Radio),https://www.ara.ac.nz/products/programme/ch3714-radi-bachelor-of-broadcasting-communications-radio/,Bachelor,Creative Arts / Design,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Broadcasting Communications (Radio),Bachelor of Broadcasting Communications (Radio),Bachelor,Creative Arts / Design,Bachelor of Broadcasting Communications (Radio),kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Broadcasting Communications (Screen Production),https://www.ara.ac.nz/products/programme/ch3714-prod-bachelor-of-broadcasting-communications-screen-production/,Bachelor,Creative Arts / Design,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Broadcasting Communications (Screen Production),Bachelor of Broadcasting Communications (Screen Production),Bachelor,Creative Arts / Design,Bachelor of Broadcasting Communications (Screen Production),kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Construction Construction Management,https://www.ara.ac.nz/products/programme/ch4060-cons-bachelor-of-construction-construction-management/,Bachelor,Business / Management; Engineering / Construction; Creative Arts / Design,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Construction Construction Management,Bachelor of Construction Construction Management,Bachelor,Business / Management; Engineering / Construction; Creative Arts / Design,Bachelor of Construction Construction Management,kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Construction Quantity Surveying,https://www.ara.ac.nz/products/programme/ch4060-qnty-bachelor-of-construction-quantity-surveying/,Bachelor,Engineering / Construction,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Construction Quantity Surveying,Bachelor of Construction Quantity Surveying,Bachelor,Engineering / Construction,Bachelor of Construction Quantity Surveying,kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Engineering Technology Civil,https://www.ara.ac.nz/products/programme/ch4018-civl-bachelor-of-engineering-technology-civil/,Bachelor,Engineering / Construction; Creative Arts / Design,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Engineering Technology Civil,Bachelor of Engineering Technology Civil,Bachelor,Engineering / Construction; Creative Arts / Design,Bachelor of Engineering Technology Civil,kept_original
6006.0,Ara Institute of Canterbury,Institute of Technology/Polytechnic,http://www.ara.ac.nz/,Bachelor of Engineering Technology Electrical,https://www.ara.ac.nz/products/programme/ch4018-elec-bachelor-of-engineering-technology-electrical/,Bachelor,Engineering / Construction; Creative Arts / Design,programme;program;bachelor,2026-05-15,deduplicated/normalized from same programme_link; kept concise title,clean,specific qualification/programme page,125.0,Bachelor of Engineering Technology Electrical,Bachelor of Engineering Technology Electrical,Bachelor,Engineering / Construction; Creative Arts / Design,Bachelor of Engineering Technology Electrical,kept_original
